2026-04-11 09:18:20,495 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:18:20,495 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:18:20,496 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:18:20,496 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:18:20,496 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:18:20,496 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:18:20,496 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:18:20,496 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:18:20,496 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:18:20,496 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:18:20,496 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:18:20,496 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:18:20,496 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:18:20,497 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:18:20,497 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:18:20,497 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:18:20,497 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:18:20,497 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:18:20,497 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:18:20,497 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:18:20,497 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:18:20,497 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:18:20,497 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:18:20,497 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:18:20,497 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:18:20,497 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:18:20,497 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:18:20,497 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:18:20,497 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:18:20,497 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:18:20,497 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:18:20,497 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:18:20,497 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:18:20,499 | INFO | alert_manager | Alert [MEDIUM] Suspicious Command Line — Command line matches suspicious substring heuristics.
2026-04-11 09:18:20,499 | INFO | alert_manager | Alert [MEDIUM] Suspicious Command Line — Command line matches suspicious substring heuristics.
2026-04-11 09:18:20,499 | INFO | alert_manager | Alert [MEDIUM] Suspicious Command Line — Command line matches suspicious substring heuristics.
2026-04-11 09:18:20,499 | INFO | alert_manager | Alert [MEDIUM] Suspicious Command Line — Command line matches suspicious substring heuristics.
2026-04-11 09:18:20,499 | INFO | alert_manager | Alert [MEDIUM] Suspicious Command Line — Command line matches suspicious substring heuristics.
2026-04-11 09:18:20,499 | INFO | alert_manager | Alert [MEDIUM] Suspicious Command Line — Command line matches suspicious substring heuristics.
2026-04-11 09:18:20,499 | INFO | alert_manager | Alert [MEDIUM] Suspicious Command Line — Command line matches suspicious substring heuristics.
2026-04-11 09:18:20,499 | INFO | alert_manager | Alert [MEDIUM] Suspicious Command Line — Command line matches suspicious substring heuristics.
2026-04-11 09:18:20,499 | INFO | alert_manager | Alert [MEDIUM] Suspicious Command Line — Command line matches suspicious substring heuristics.
2026-04-11 09:18:20,499 | INFO | alert_manager | Alert [MEDIUM] Suspicious Command Line — Command line matches suspicious substring heuristics.
2026-04-11 09:18:20,499 | INFO | alert_manager | Alert [HIGH] Suspicious Command Line — Command line matches suspicious substring heuristics.
2026-04-11 09:18:20,499 | INFO | alert_manager | Alert [MEDIUM] Suspicious Command Line — Command line matches suspicious substring heuristics.
2026-04-11 09:18:20,500 | INFO | alert_manager | Alert [MEDIUM] Suspicious Command Line — Command line matches suspicious substring heuristics.
2026-04-11 09:18:20,500 | INFO | alert_manager | Alert [MEDIUM] Suspicious Command Line — Command line matches suspicious substring heuristics.
2026-04-11 09:18:20,500 | INFO | alert_manager | Alert [MEDIUM] Suspicious Command Line — Command line matches suspicious substring heuristics.
2026-04-11 09:18:20,501 | INFO | alert_manager | Alert [HIGH] Potential Process Injection — No valid executable path — may indicate hollowing or access limits.
2026-04-11 09:18:20,501 | INFO | alert_manager | Alert [HIGH] Potential Process Injection — No valid executable path — may indicate hollowing or access limits.
2026-04-11 09:18:20,501 | INFO | alert_manager | Alert [LOW] Orphan or Hidden Parent Process — Parent PID is not present in the enumerated snapshot (exited or protected).
2026-04-11 09:18:20,501 | INFO | alert_manager | Alert [LOW] Orphan or Hidden Parent Process — Parent PID is not present in the enumerated snapshot (exited or protected).
2026-04-11 09:18:20,502 | INFO | alert_manager | Alert [LOW] Orphan or Hidden Parent Process — Parent PID is not present in the enumerated snapshot (exited or protected).
2026-04-11 09:18:20,502 | INFO | alert_manager | Alert [LOW] Orphan or Hidden Parent Process — Parent PID is not present in the enumerated snapshot (exited or protected).
2026-04-11 09:18:20,502 | INFO | alert_manager | Alert [LOW] Orphan or Hidden Parent Process — Parent PID is not present in the enumerated snapshot (exited or protected).
2026-04-11 09:18:20,502 | INFO | alert_manager | Alert [LOW] Orphan or Hidden Parent Process — Parent PID is not present in the enumerated snapshot (exited or protected).
2026-04-11 09:18:20,502 | INFO | alert_manager | Alert [LOW] Orphan or Hidden Parent Process — Parent PID is not present in the enumerated snapshot (exited or protected).
2026-04-11 09:18:20,502 | INFO | alert_manager | Alert [LOW] Orphan or Hidden Parent Process — Parent PID is not present in the enumerated snapshot (exited or protected).
2026-04-11 09:18:20,502 | INFO | alert_manager | Alert [LOW] Orphan or Hidden Parent Process — Parent PID is not present in the enumerated snapshot (exited or protected).
2026-04-11 09:18:20,503 | INFO | alert_manager | Alert [CRITICAL] Duplicate Critical Process Name — More than one instance of a process that is normally singular.
2026-04-11 09:18:29,144 | INFO | alert_manager | Alert [MEDIUM] Auto-Start Service Outside System Directories — Running auto-start service with binary outside typical Windows paths.
2026-04-11 09:18:29,144 | INFO | alert_manager | Alert [MEDIUM] Auto-Start Service Outside System Directories — Running auto-start service with binary outside typical Windows paths.
2026-04-11 09:18:29,144 | INFO | alert_manager | Alert [MEDIUM] Auto-Start Service Outside System Directories — Running auto-start service with binary outside typical Windows paths.
2026-04-11 09:18:29,144 | INFO | alert_manager | Alert [MEDIUM] Auto-Start Service Outside System Directories — Running auto-start service with binary outside typical Windows paths.
2026-04-11 09:18:29,144 | INFO | alert_manager | Alert [MEDIUM] Auto-Start Service Outside System Directories — Running auto-start service with binary outside typical Windows paths.
2026-04-11 09:18:29,145 | INFO | alert_manager | Alert [MEDIUM] Auto-Start Service Outside System Directories — Running auto-start service with binary outside typical Windows paths.
2026-04-11 09:18:29,145 | INFO | alert_manager | Alert [MEDIUM] Auto-Start Service Outside System Directories — Running auto-start service with binary outside typical Windows paths.
2026-04-11 09:18:29,145 | INFO | alert_manager | Alert [MEDIUM] Auto-Start Service Outside System Directories — Running auto-start service with binary outside typical Windows paths.
2026-04-11 09:18:29,145 | INFO | alert_manager | Alert [CRITICAL] Suspicious Parent-Child Relationship (SIMULATED) — DEMO: Office process spawned PowerShell with encoded payload pattern.
2026-04-11 09:18:29,145 | INFO | alert_manager | Alert [HIGH] Process from Suspicious Location (SIMULATED) — DEMO: Binary executed from a world-writable staging directory.
2026-04-11 09:18:29,145 | INFO | alert_manager | Alert [HIGH] Service from Suspicious Location (SIMULATED) — DEMO: Auto-start service binary under Temp (persistence red flag).
2026-04-11 09:20:26,605 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:20:26,605 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:20:26,606 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:20:26,606 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:20:26,606 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:20:26,606 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:20:26,606 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
2026-04-11 09:20:26,606 | INFO | alert_manager | Alert [LOW] Process from User-Writable Location — Executable resides under a user-writable profile path.
